"Date.Made.Public","Company","City","State","Type.of.breach","Type.of.organization","Total.Records","Description.of.incident","Information.Source","Source.URL","Year.of.Breach","Latitude","Longitude","X","X.1","X.2","total_records","date","date_next","time","log_time","log_size","flag_train"
"4/8/2005","Eastern National","Ft. Washington","Pennsylvania","HACK","NGO","15,000","A hacker gained access to a server containing the names, credit card information, and billing addresses of 15,000 customers.  Letters were mailed to all customers who bought products through the educational website for national parks.","Dataloss DB","",2005,40.13845,-75.191799,NA,NA,"",15000,2005-04-08,2005-04-11,3,1.09861228866811,9.61580548008435,1
"4/11/2005","Tufts University","Boston","Massachusetts","HACK","EDU","106,000","The University's donor database was breached sometime in late 2004.  The database was managed by a software company for nonprofit organizations named RuffaloCODY.  Letters were sent to the alumni who may have had their personal information stolen.","Dataloss DB","",2005,42.358431,-71.059773,NA,NA,"",106000,2005-04-11,2005-04-15,4,1.38629436111989,11.5711943730942,1
"4/15/2005","Polo Ralph Lauren, HSBC","New York","New York","HACK","BSR","180,000","Credit card data was stolen. Individuals holding the HSBC-issued General Motors Mastercard were told their cards should be replaced.              UPDATE(07/10/07): U.S. Secret Service 
              agents found Ralph Polo Lauren customers' credit card numbers in 
              the hands of Eastern European cyber thieves who created high-quality 
              counterfeit credit cards. Victims are from the U.S., Europe, Asia 
              and Canada, among other places, Several Cuban nationals in Florida 
              were arrested with more than 200,000 credit card account numbers.","Dataloss DB","",2005,40.714269,-74.005973,NA,NA,"",180000,2005-04-15,2005-04-21,6,1.79175946922805,12.1007121298723,1
"4/21/2005","Carnegie Mellon University","Pittsburgh","Pennsylvania","HACK","EDU","19,000","The compromised information included Social Security numbers and grades from master's alumni classes 1997 through 2004, job offer information from master's alumni classes 1985 through 2004, contact information for all alumni, and Social Security numbers and grades from doctoral students enrolled between 1998 and 2004.  Between 5,000 and 6,000 of those affected had their credit card information and Social Security numbers compromised. Emails and letters were sent to those who were affected.","Dataloss DB","",2005,40.440625,-79.995886,NA,NA,"",19000,2005-04-21,2005-04-26,5,1.6094379124341,9.85219425814858,1
"4/26/2005","Michigan State University's Wharton Center","East Lansing","Michigan","HACK","EDU","40,000","A hacker may have stolen the credit card information of visitors attending a performing arts venue.  Warnings were sent to Wharton visitors who used their credit cards anytime between September of 2003 and the incident.","Dataloss DB","",2005,42.736979,-84.483865,NA,NA,"",40000,2005-04-26,2005-04-28,2,0.693147180559945,10.5966347330961,1
"4/28/2005","Georgia Southern University","Stateboro","Georgia","HACK","EDU","20,000","Hackers accessed a University server which contained thousands of credit card and Social Security numbers collected over three years.  Students who received bookstore credit through scholarship or financial aid between the fall 2003 and spring of 2005 semesters, and anyone who made credit purchases at campus stores, stadium, or website are at risk.  Email alerts were sent to students and alumni.","Dataloss DB","",2005,32.448788,-81.783167,NA,NA,"",20000,2005-04-28,2005-05-05,7,1.94591014905531,9.90348755253613,1
"5/5/2005","Purdue University","West Lafayette","Indiana","HACK","EDU","11,360","Hackers accessed a program which contained University credit card information and the Social Security numbers of current and former employees. Letters were sent to employees and former employees.","Dataloss DB","",2005,40.425869,-86.908066,NA,NA,"",11360,2005-05-05,2005-05-11,6,1.79175946922805,9.33785369227514,1
"5/11/2005","Stanford University","Stanford","California","HACK","EDU","9,900","The University's Career Development Center was hacked. This exposed the names, Social Security numbers, and other personal information of users. Names and credit card information for some employers that registered with the site were also in the database.","Dataloss DB","",2005,37.424106,-122.166076,NA,NA,"",9900,2005-05-11,2005-05-12,1,0,9.20029003612268,1
"5/12/2005","Hinsdale Central High School","Hinsdale","Illinois","HACK","EDU","2,400","Two students were accused of hacking into the School's computer system and stealing student and staff Social Security numbers.  The students had the information for months before being caught.  Letters were sent to affected families. The Social Security Administration and the Federal Trade Commission were also notified.","Dataloss DB","",2005,41.800864,-87.937005,NA,NA,"",2400,2005-05-12,2005-05-18,6,1.79175946922805,7.78322401633604,1
"5/18/2005","University of Iowa","Iowa City","Iowa","HACK","EDU","30,000","A computer containing credit card numbers and campus ID numbers for University Book Store customers was breached by a hacker.","Dataloss DB","",2005,41.661128,-91.530168,NA,NA,"",30000,2005-05-18,2005-05-18,0.37212389963679,-0.98852841662258,10.3089526606443,1
"5/18/2005","Jackson Community College","Jackson","Michigan","HACK","EDU","8,000","A hacker may have downloaded the passwords and Social Security numbers of employees and students.  The College sent new, high security passwords to students and employees.","Dataloss DB","",2005,42.245869,-84.401346,NA,NA,"",8000,2005-05-18,2005-05-19,1,0,8.98719682066197,1
"5/19/2005","Valdosta State University","Valdosta","Georgia","HACK","EDU","40,000","A computer server containing campus ID card information and Social Security numbers was hacked. The cards were designed to be used as debit cards by students and employees.","Dataloss DB","",2005,30.832702,-83.278485,NA,NA,"",40000,2005-05-19,2005-06-04,16,2.77258872223978,10.5966347330961,1
"6/4/2005","Duke University Medical Center","Durham","North Carolina","HACK","EDU","14,000","A hacker broke into the computer system, stealing thousands of passwords and fragments of Social Security numbers.  Fourteen thousand affected people were notified, including 10,000 employees of Duke University Medical Center.","Dataloss DB","",2005,35.994033,-78.898619,NA,NA,"",14000,2005-06-04,2005-06-16,12,2.484906649788,9.5468126085974,1
"6/16/2005","CardSystems","Tucson","Arizona","HACK","BSF","40,000,000","Over 40 million card accounts 
            were exposed to potential fraud due to a security breach that occurred 
            at a third-party processor of payment card transactions. Of the more 
            than 40 million accounts exposed, information on 68,000 Mastercard 
            accounts, 100,000 Visa accounts and 30,000 accounts from other card 
            brands are known to have been exported by the hackers. The data exported 
            included names, card numbers and card security codes.UPDATE (2/23/2006) CardSystems agreed to settle Federal Trade Commission charges that it failed to take appropriate security measures to protect sensitive personal information. The company must implement a comprehensive security program and obtain audits every 2 years for 20 years.UPDATE (5/12/2006) CardSystems filed for bankruptcy.UPDATE
            (5/28/2009)

            Merrick Bank has launched a multi-million dollar lawsuit against Savvis, 
            accusing the vendor of erroneously telling it that CardSystems Solutions 
            complied with Visa and MasterCard security regulations less than a 
            year before the payment processor's systems were hacked, compromising 
            up to 40 million credit card accounts. Less than a year later the 
            security breach occurred. Hackers were able to get hold of the data 
            because CardSystems kept unencrypted card information on its servers 
            - in contravention of the regulations for which Savvis certified it. ","Dataloss DB","",2005,32.221743,-110.926479,NA,NA,"",4e+07,2005-06-16,2005-06-25,9,2.19722457733622,17.5043900120782,1
"6/25/2005","University of Connecticut  (UCONN)","Storrs","Connecticut","HACK","EDU","72,000","University officials became aware of an October 26, 2003 hacking incident.  The personal information included Social Security numbers and addresses for students, faculty, and staff.  The University began contacting those affected in June of 2005.","Dataloss DB","",2005,41.808431,-72.249523,NA,NA,"",72000,2005-06-25,2005-07-01,6,1.79175946922805,11.1844213979982,1
"7/1/2005","University of California San Diego","La Jolla","California","HACK","EDU","3,300","A University server was hacked in April.  The server contained Social Security numbers, driver's license numbers, and credit card numbers from people who attended or worked at UCSD Extension between the time of the incident and 2000.  UCSD contacted those who were affected two months after the incident.","Dataloss DB","",2005,33.8575,-117.87556,NA,NA,"",3300,2005-07-01,2005-07-07,6,1.79175946922805,8.10167774745457,1
"7/7/2005","Michigan State University","East Lansing","Michigan","HACK","EDU","27,000","Student information was compromised during an attack on the College of Education server.  The information included Social Security numbers, names, addresses, student courses, and personal identification numbers.  The breach occurred in April and students were emailed in July.","Dataloss DB","",2005,42.736979,-84.483865,NA,NA,"",27000,2005-07-07,2005-07-21,14,2.63905732961526,10.2035921449865,1
"7/21/2005","University of Colorado, Boulder","Boulder","Colorado","HACK","EDU","49,000","Prospective students, current students, staff, faculty and University health care service recipients may have had their data exposed in a campus server breach.  The information included names, Social Security numbers, addresses, student ID numbers, birth dates, and lab test information. The University mailed letters and sent emails to the individuals affected.UPDATE
            (08/20/2005) The number of students affected was increased from an 
            estimate of 42,000 to 49,000.","Dataloss DB","",2005,40.014986,-105.270546,NA,NA,"",49000,2005-07-21,2005-07-30,9,2.19722457733622,10.7995755770928,1
"7/30/2005","San Diego County Employees Retirement Association","San Diego","California","HACK","GOV","33,000","Two computers that contained personal information for current and retired San Diego County employees were hacked.  The information included names, addresses, Social Security numbers, and dates of birth.  The San Diego Retirement Association mailed warnings to members.","Dataloss DB","",2005,32.715329,-117.157255,NA,NA,"",33000,2005-07-30,2005-07-30,0.572853363351896,-0.557125505398681,10.4042628404486,1
"7/30/2005","California State University, Dominguez Hills ","Carson","California","HACK","EDU","9,613","Hackers accessed several computers containing personal information such as names and Social Security numbers.  The students who were affected were emailed.","Dataloss DB","",2005,33.831406,-118.282017,NA,NA,"",9613,2005-07-30,2005-07-31,1,0,9.17087162806582,1
"7/31/2005","California State Polytechnic University (Cal PolyPomona)","Pomona","California","HACK","EDU","31,077","Hackers gained access to two computers containing names, Social Security numbers and transfer records.  Applicants, current students, current and former faculty, and staff were affected.","Dataloss DB","",2005,34.055289,-117.752279,NA,NA,"",31077,2005-07-31,2005-08-02,2,0.693147180559945,10.3442232747262,1
"8/2/2005","University of Colorado","Denver","Colorado","HACK","EDU","36,000","Hackers accessed files containing names, photographs, Social Security numbers, and University meal card information.  Around 7,000 staff members, 29,000 current students, and some former students were affected.","Dataloss DB","",2005,39.739154,-104.984703,NA,NA,"",36000,2005-08-02,2005-08-09,7,1.94591014905531,10.4912742174382,1
"8/9/2005","University of Utah","Salt Lake City","Utah","HACK","EDU","100,000","A server containing library archival databases was hacked.  The server included names and Social Security numbers of former University employees.  The University issued a warning that people may try to get personal information by posing as University officials involved in the investigation.","Dataloss DB","",2005,40.760779,-111.891047,NA,NA,"",1e+05,2005-08-09,2005-08-09,0.908207789994776,-0.096282082954966,11.5129254649702,1
"8/9/2005","Sonoma State University","Rohnert Park","California","HACK","EDU","61,709","Hackers broke into a computer system and may have accessed the names and Social Security numbers of people who applied, attended, or worked at the University between 1995 and 2002.  University officials attempted to notify those who were affected.","Dataloss DB","",2005,38.339637,-122.701098,NA,NA,"",61709,2005-08-09,2005-08-10,1,0,11.0301850663548,1
"8/10/2005","University of North Texas","Denton","Texas","HACK","EDU","39,000","A server containing housing records, financial aid inquiries, and in some cases credit card numbers was hacked.  UNT sent letters to current, former, and prospective students whose information may have been accessed.","Dataloss DB","",2005,33.214841,-97.133068,NA,NA,"",39000,2005-08-10,2005-08-17,7,1.94591014905531,10.5713169251118,1
"8/17/2005","California State University, Stanislaus","Turlock","California","HACK","EDU","900","The names and Social Security numbers of student workers were exposed during a hacker attack.  The student workers were contacted by the University.","Dataloss DB","",2005,37.494657,-120.846594,NA,NA,"",900,2005-08-17,2005-08-19,2,0.693147180559945,6.80239476332431,1
"8/19/2005","University of Colorado","Denver","Colorado","HACK","EDU","49,000","A hacker may have gained access to personal information from June of 1999 to May of 2001, and fall of 2003 to summer of 2005.  The information included current and former student names, Social Security numbers, addresses and phone numbers.  The University contacted individuals who were affected.","Dataloss DB","",2005,39.739154,-104.984703,NA,NA,"",49000,2005-08-19,2005-08-22,3,1.09861228866811,10.7995755770928,1
"8/22/2005","U.S. Air Force","Washington","District Of Columbia","HACK","GOV","33,300","A hacker used a legitimate user ID and password to access career information, birth dates, and Social Security numbers.  Those affected were notified several months after the breach was discovered.","Dataloss DB","",2005,38.895112,-77.036366,NA,NA,"",33300,2005-08-22,2005-08-30,8,2.07944154167984,10.4133126759685,1
"8/30/2005","California State University, Chancellor's Office ","Long Beach","California","HACK","EDU","154","A computer virus attack exposed names and Social Security numbers. Those affected included two financial aid administrators and 152 students enrolled at various Cal State Universities.  Those affected were contacted.","Dataloss DB","",2005,33.766962,-118.189235,NA,NA,"",154,2005-08-30,2005-09-29,30,3.40119738166216,5.03695260241363,1
"9/29/2005","University of Georgia","Athens","Georgia","HACK","EDU","1,600","A hacker may have accessed the names and Social Security numbers of at least 1,600 people working for the College of Agricultural and Environmental Sciences.  The University is attempting to contact individuals who may have been affected.","Dataloss DB","",2005,33.960948,-83.377936,NA,NA,"",1600,2005-09-29,2005-11-18,50,3.91202300542815,7.37775890822787,1
"11/18/2005","Indiana University Kelley School of Business","Indianapolis","Indiana","HACK","EDU","5,278","A hacker may have accessed the names, Social Security numbers and grades of students who enrolled in Introduction to Business courses between 2001 and 2005.  The computer may have been hacked and installed with malware as early as August.  A representative believes the breach occurred because the files were stored on a computer that did not have current anti-virus and system-protection software.","Dataloss DB","",2005,39.768377,-86.158042,NA,NA,"",5278,2005-11-18,2005-11-23,5,1.6094379124341,8.57130251706327,1
"11/23/2005","University of Delaware","Newark","Delaware","HACK","EDU","952","Two separate departments were breached by hacking within a short period of time.  A School of Education computer with the names and Social Security numbers of 772 students registered in online education courses was attacked in late August.  A Department of English computer that had the Social Security numbers of 180 faculty, graduate assistant and other teaching staff from the department was also hacked in August.  The larger breach appears to be the result of someone attempting to establish an illegal movie sharing system.  The smaller breach was a possible attempt to log onto and control one server in order to gain control over servers of other campuses.  Those affected received notification and Social Security numbers have been removed from both servers.","Dataloss DB","",2005,39.683723,-75.749657,NA,NA,"",952,2005-11-23,2005-12-01,8,2.07944154167984,6.85856503479136,1
"12/1/2005","University of San Diego","San Diego","California","HACK","EDU","7,800","Hackers gained access to computers containing personal income tax data, including Social Security numbers, names, and addresses.  Faculty members, students and vendors had their information compromised and were notified by the University.","Dataloss DB","",2005,32.715329,-117.157255,NA,NA,"",7800,2005-12-01,2005-12-02,1,0,8.96187901267768,1
"12/2/2005","Cornell University","Ithaca","New York","HACK","EDU","900","The University discovered a security breach last summer that exposed names, addresses, 
            Social Security numbers, bank names and account numbers.","Dataloss DB","",2005,42.440628,-76.496607,NA,NA,"",900,2005-12-02,2005-12-12,10,2.30258509299405,6.80239476332431,1
"12/12/2005","Iowa State University","Ames","Iowa","HACK","EDU","5,500","At least one ISU computer was hacked. Social Security numbers and encrypted credit card numbers may have been obtained. Between 2,000 and 2,500 Social Security numbers are at risk and between 2,300 and 3,000 credit card numbers are at risk. Student, alumni, employee and volunteer information was put at risk. ","Dataloss DB","",2005,42.02335,-93.625622,NA,NA,"",5500,2005-12-12,2005-12-20,8,2.07944154167984,8.61250337122056,1
"12/20/2005","Guidance Software, Inc.            ","Pasadena","California","HACK","BSO","3,800","A hacked database exposed credit card numbers of law enforcement officials and network security professionals.  The company is a leading provider of software used to diagnose hacked attacks.UPDATE
            (4/3/07): The FTC came to a settlement agreement and final 
            consent order against Guidance Software.","Dataloss DB","",2005,34.147785,-118.144516,NA,NA,"",3800,2005-12-20,2006-01-27,38,3.63758615972639,8.24275634571448,1
"1/27/2006","State of Rhode Island  website (www.RI.gov)","Providence","Rhode Island","HACK","GOV","4,118","Hackers obtained credit 
            card information in conjunction with names and addresses. The credit card companies were notified of the breach, but not the customers.","Dataloss DB","",2006,41.823989,-71.412834,NA,NA,"",4118,2006-01-27,2006-02-01,5,1.6094379124341,8.32312288758773,1
"2/1/2006","University of Colorado, Colorado Springs (UCCS)","Colorado Springs","Colorado","HACK","EDU","2,500","Names, Social Security numbers, addresses and birth dates of current and former employees were accessed.  A computer in the Personnel Department was hacked and infected with a virus.  People employed by the University at anytime between the attack and 2004 are at risk.  The virus infected other computers at the University and was part of a worldwide attack.","Dataloss DB","",2006,38.833882,-104.821363,NA,NA,"",2500,2006-02-01,2006-02-09,8,2.07944154167984,7.82404601085629,1
"2/9/2006","OfficeMax","Naperville","Illinois","HACK","BSR","200,000","Debit card accounts and pin 
            numbers from bank and credit union accounts nationwide (including 
            CitiBank, BofA, WaMu, Wells Fargo) were exposed. The crooks created counterfeit cards to make fraudulent purchases and withdrawals from card-holder accounts.  UPDATE (3/14/06) New Jersey law enforcement arrested 14 people connected to the crime spree.  ","Dataloss DB","",2006,41.785863,-88.147289,NA,NA,"",2e+05,2006-02-09,2006-02-18,9,2.19722457733622,12.2060726455302,1
"2/18/2006","University of Northern Iowa","Cedar Falls","Iowa","HACK","EDU","6,000","A laptop computer 
            holding W-2 forms of student employees and faculty was illegally accessed.  The University warned students and faculty to monitor their bank accounts.","Dataloss DB","",2006,42.527762,-92.445465,NA,NA,"",6000,2006-02-18,2006-03-03,13,2.56494935746154,8.69951474821019,1
"3/3/2006","PayDay OK LLC","","New Jersey","HACK","BSF","88","The company's website was breached sometime around February 19 by a hacker in an attempt to gain access to certain customers' private information. Social Security numbers, names, addresses, bank account names and bank account numbers may have been compromised. At least 88 individuals were affected.","California Attorney General","https://oag.ca.gov/",2006,40.058324,-74.405661,NA,NA,"",88,2006-03-03,2006-03-05,2,0.693147180559945,4.47733681447821,1
"3/5/2006","Georgetown University","Washington","District Of Columbia","HACK","EDU","41,000","A server was attacked that housed personal information 
            including names, birthdates and Social Security numbers of District 
            seniors served by the Office on Aging.  Georgetown managed the server as part of a grant to manage information services provided by the D. C. Office of Aging.  ","Dataloss DB","",2006,38.895112,-77.036366,NA,NA,"",41000,2006-03-05,2006-03-07,2,0.693147180559945,10.6213273456864,1
"3/7/2006","Audiolink LLC (Audio Link)","Orlando","Florida","HACK","BSR","25","A hacker may have accessed customer names, addresses, telephone numbers, email addresses and credit card information from the company's website.  Audiolink disabled the credit card functions on their website and updated web security.","Dataloss DB","",2006,28.538336,-81.379237,NA,NA,"",25,2006-03-07,2006-03-16,9,2.19722457733622,3.2188758248682,1
"3/16/2006","Bananas.com","San Rafael","California","HACK","BSR","274","A hacker accessed names, 
              addresses, phone numbers and credit card numbers of customers.  The breach occurred in February and someone on the Internet began selling personal information shortly after.  Affected customers were notified in March.","Dataloss DB","",2006,37.973535,-122.531087,NA,NA,"",274,2006-03-16,2006-03-30,14,2.63905732961526,5.61312810638807,1
"3/30/2006","Georgia Technology Authority (GTA)","Atlanta","Georgia","HACK","GOV","573,000","Hackers exploited a security 
            flaw to gain access to confidential information including Social Security 
            numbers and bank-account details of state pensioners.  The State only had contact information for 180,000 of those affected and relied on media coverage to get the word out to others.","Dataloss DB","",2006,33.748995,-84.387982,NA,NA,"",573000,2006-03-30,2006-04-09,10,2.30258509299405,13.2586409956969,1
"4/9/2006","University of Medicine and Dentistry of New Jersey","Newark","New Jersey","HACK","EDU","1,850","Hackers accessed Social 
            Security numbers, loan information, and other confidential financial 
            information of students and alumni.","Dataloss DB","",2006,40.735657,-74.172367,NA,NA,"",1850,2006-04-09,2006-04-12,3,1.09861228866811,7.52294091807237,1
"4/12/2006","Ross-Simons","Providence","Rhode Island","HACK","BSR","32,000","A security breach exposed 
            account and personal information of those who applied for Ross-Simons' private 
            label credit card. Information exposed includes private label credit 
            card numbers and other personal information of applicants.","Dataloss DB","",2006,41.823989,-71.412834,NA,NA,"",32000,2006-04-12,2006-04-21,9,2.19722457733622,10.3734911817819,1
"4/21/2006"," University of Alaska, Fairbanks","Fairbanks","Alaska","HACK","EDU","38,941","A hacker had access to names, 
            Social Security numbers, and partial e-mail addresses of current and 
            former students, faculty, and staff.  The University reported that it would not contact those affected after a first and second notification.  Anyone claiming to be from the University after these notifications should be viewed with suspicion.","Dataloss DB","",2006,64.837778,-147.716389,NA,NA,"",38941,2006-04-21,2006-04-23,2,0.693147180559945,10.5698029591306,1
"4/23/2006","University of Texas McCombs  School of Business","Austin","Texas","HACK","EDU","197,000","Foreign hackers accessed records 
            containing names, biographical information and, in some cases, Social 
            Security numbers and dates of birth of current and prospective students, 
            alumni, faculty members, corporate recruiters and staff members.","Dataloss DB","",2006,30.267153,-97.743061,NA,NA,"",197000,2006-04-23,2006-04-26,3,1.09861228866811,12.1909590077201,1
"4/26/2006","Purdue University","West Lafayette","Indiana","HACK","EDU","1,351","A hacker accessed personal 
            information including Social Security numbers of current and former 
            graduate students, applicants to graduate school, and a small number 
            of applicants for undergraduate scholarships.  The information compromised goes back three years prior to the incident.  Those who were affected were contacted.","Dataloss DB","",2006,40.425869,-86.908066,NA,NA,"",1351,2006-04-26,2006-04-28,2,0.693147180559945,7.2086003379602,1
"4/28/2006","U.S. Department of Defense","Washington","District Of Columbia","HACK","GOV","14,000","A hacker accessed a Tricare 
            
            Management Activity (TMA) public server containing personal information 
            about military employees. TMA is used to provide health care services to military personnel and their families.","Dataloss DB","",2006,38.895112,-77.036366,NA,NA,"",14000,2006-04-28,2006-05-02,4,1.38629436111989,9.5468126085974,1
"5/2/2006","Ohio University","Athens","Ohio","HACK","EDU","30,000","Hackers accessed a computer 
              system of the school's alumni relations department that included 
              biographical information and 137,000 Social Security numbers of 
              alum. 
            UPDATE 
              (8/30/07) :
              An Ohio judge has granted a motion to dismiss a case against Ohio 
              University (OU) regarding security breaches of the school's computer 
              systems that compromised alumni data. The two alumni who filed the 
              lawsuit wanted OU to pay for credit monitoring services for everyone 
              whose data were compromised. The judge said the pair had not proven 
              that they had suffered damages for which they could be compensated.","Dataloss DB","",2006,39.32924,-82.101255,NA,NA,"",30000,2006-05-02,2006-05-02,0.201681931037456,-1.60106342138901,10.3089526606443,1
"5/2/2006","Ohio University Innovation Center","Athens","Ohio","HACK","EDU","35","A server containing data 
            including e-mails, patent and intellectual property files, and 35 
            Social Security numbers associated with parking passes was compromised.","Dataloss DB","",2006,39.32924,-82.101255,NA,NA,"",35,2006-05-02,2006-05-11,9,2.19722457733622,3.55534806148941,1
"5/11/2006","Ohio University Hudson Health Center","Athens","Ohio","HACK","MED","70,000","Names, birth dates, Social 
            Security numbers and medical information were accessed in records 
            of students dating back to 2001, plus faculty, workers and regional 
            campus students.","Dataloss DB","",2006,39.32924,-82.101255,NA,NA,"",70000,2006-05-11,2006-05-16,5,1.6094379124341,11.1562505210315,1
"5/16/2006","University of California Berkeley","Berkeley","California","HACK","EDU","1,200","During an investigation of a computer virus, it was discovered that computers within an office may have been accessed without authorization from within the campus network.  Student, faculty and staff names and Social Security numbers were on archived spreadsheets.  The spreadsheets contained the personal information of people who requested campus cards between 1998 and 2004.","Dataloss DB","",2006,37.871593,-122.272747,NA,NA,"",1200,2006-05-16,2006-05-19,3,1.09861228866811,7.09007683577609,1
"5/19/2006","Frost Bank","San Antonio","Texas","HACK","BSF","9,300","Hackers accessed the credit and debit card accounts of around 100 Frost Bank customers after they took Visa and MasterCard debit card information from the database of a national retailer.  Banks across the nation were affected by the breach. Only 100 Frost Bank customers reported fraudulent charges.","Dataloss DB","",2006,29.424122,-98.493628,NA,NA,"",9300,2006-05-19,2006-05-21,2,0.693147180559945,9.13776967914135,1
"5/21/2006","Columbus Bank & Trust","Columbus","Georgia","HACK","BSF","2,000","A security problem may have exposed customer credit and check card information.","Dataloss DB","",2006,32.460976,-84.987709,NA,NA,"",2000,2006-05-21,2006-05-23,2,0.693147180559945,7.60090245954208,1
"5/23/2006","University of Delaware","Newark","Delaware","HACK","EDU","1,076","A security breach of a Department 
            of Public Safety computer server potentially exposed names, Social 
            Security numbers and driver's license numbers. Individuals whose personal information was compromised were contacted.","Dataloss DB","",2006,39.683723,-75.749657,NA,NA,"",1076,2006-05-23,2006-05-25,2,0.693147180559945,6.98100574072173,1
"5/25/2006","VyStar Credit Union","Jacksonville","Florida","HACK","BSF","34,400","Hacker gained access to 
            member accounts a and stole personal information 
            including names, addresses, birth dates, mother's maiden names, Social Security numbers 
            and/or email addresses. Less than 10% of VyStar's 344,000 members were affected.","Dataloss DB","",2006,30.332184,-81.655651,NA,NA,"",34400,2006-05-25,2006-05-25,0.898389684967697,-0.107151357182481,10.4458118433615,1
"5/25/2006","Security Savings Bank","Southport","North Carolina","HACK","BSF","13","Security Saving's website host Goldleaf Technologies informed the bank that their website was down.  The website had been phished for two hours.  Thirteen customers visited the fraudulent website during that time.  Passwords, user IDs, account numbers and card numbers could have fallen into the wrong hands.","Dataloss DB","",2006,33.921563,-78.020268,NA,NA,"",13,2006-05-25,2006-06-06,12,2.484906649788,2.56494935746154,1
"6/6/2006","University of Texas at El Paso","El Paso","Texas","HACK","EDU","4,719","Students demonstrated that 
            student body and faculty elections could be rigged by hacking into 
            student information including Social Security numbers.","Dataloss DB","",2006,31.75872,-106.486931,NA,NA,"",4719,2006-06-06,2006-06-06,0.944675268605351,-0.0569140416485399,8.45935219172639,1
"6/6/2006","U.S. Department of Energy","Washington","District Of Columbia","HACK","GOV","1,502","Names, Social Security 
            numbers, security clearance levels and place of employment for mostly 
            contract employees who worked for National Nuclear Security Administration 
            may have been compromised when a hacker gained entry to a computer 
            system at a service center in Albuquerque, NM eight months prior to press releases.","Dataloss DB","",2006,38.895112,-77.036366,NA,NA,"",1502,2006-06-06,2006-06-12,6,1.79175946922805,7.31455283232408,1
